"SITECODE","LCODE","SDATE","SHOUR","SMINS","RECORDER","RECCODE","TEMP","SUNPERC","WSPEEDB","WEEK"
"T10","01",15-JUN-94,14,23,"CB","1",22,100,4,11
"T09","01",17-JUN-94,12,15,"HT","1",23,100,2,12
"T01","01",17-JUN-94,13,45,"SJC","1",22.5,100,3,12
"T05","01",17-JUN-94,11,0,"KT","1",22,100,3,12
"T06","01",22-JUN-94,14,55,"JEB","4",19,100,5,12
"T08","01",22-JUN-94,11,10,"MDM","1",17,40,5,12
"T04","02",23-JUN-94,15,30,"IHF","1",17,100,1,12
"T05","01",23-JUN-94,11,30,"KT","1",19,100,5,12
"T10","01",23-JUN-94,14,0,"RJR","1",21,100,3,12
"T01","01",24-JUN-94,11,35,"SJC","1",24.5,100,4,13
"T06","01",24-JUN-94,11,45,"JEB","4",28,100,4,13
"T02","01",27-JUN-94,14,0,"SW","2",20,100,3,13
"T09","01",27-JUN-94,14,35,"HT","1",23,100,1,13
"T02","02",27-JUN-94,,,"","",,,,13
"T04","02",28-JUN-94,14,30,"IHF","1",18,100,1,13
"T05","01",28-JUN-94,11,45,"DH","2",20,100,3,13
"T10","01",28-JUN-94,14,10,"CB","1",26.5,100,6,13
"T08","01",28-JUN-94,11,25,"MDM","1",26,100,3,13
"T04","01",28-JUN-94,13,25,"DS","4",18,90,3,13
"T07","01",30-JUN-94,11,30,"AB","1",17,20,1,13
"T01","01",01-JUL-94,11,45,"SJC","1",22,100,3,14
"T09","01",01-JUL-94,11,40,"HT","1",24,100,2,14
"T04","02",03-JUL-94,11,30,"IHF","1",21,80,1,14
"T08","01",05-JUL-94,11,40,"MDM","1",18,20,3,14
"T03","01",07-JUL-94,12,45,"RA","1",21,100,9,14
"T06","01",07-JUL-94,14,50,"JEB","4",27,70,2,14
"T10","01",07-JUL-94,10,55,"CB","1",21,90,4,14
"T02","02",08-JUL-94,,,"","",,,,15
"T02","01",08-JUL-94,13,45,"SW","2",18.3,100,3,15
"T05","01",11-JUL-94,11,15,"KT","1",25,100,2,15
"T06","01",11-JUL-94,11,50,"JEB","4",35,100,2,15
"T01","01",11-JUL-94,13,45,"SJC","1",28,100,3,15
"T09","01",12-JUL-94,12,40,"MRJ","2",28,100,3,15
"T04","02",13-JUL-94,13,0,"IHF","1",19,100,2,15
"T03","01",13-JUL-94,11,5,"RA","1",20,90,1,15
"T10","01",14-JUL-94,13,30,"CB","1",24.5,90,3,15
"T04","01",14-JUL-94,13,15,"DS","4",17,100,3,15
"T09","01",15-JUL-94,14,10,"HT","1",22,100,2,16
"T06","01",18-JUL-94,11,50,"JEB","4",28,100,2,16
"T07","01",18-JUL-94,11,25,"AB","1",17,10,1,16
"T02","02",18-JUL-94,,,"","",,,,16
"T01","01",18-JUL-94,14,0,"SJC","1",22,100,1,16
"T08","01",18-JUL-94,11,25,"CAW","2",22.5,80,2,16
"T02","01",18-JUL-94,13,10,"SW","2",17,90,4,16
"T05","01",19-JUL-94,11,30,"KT","1",22,70,2,16
"T04","02",20-JUL-94,13,0,"IHF","1",23,100,1,16
"T04","01",20-JUL-94,11,45,"DJA","5",17,100,2,16
"T03","01",20-JUL-94,10,20,"RA","1",24,50,1,16
"T10","01",20-JUL-94,13,50,"RJR","2",25,100,2,16
"T09","01",22-JUL-94,12,0,"HT","1",25,100,2,17
"T01","01",22-JUL-94,14,5,"SJC","1",24.5,100,1,17
