unique_id,site,country,latitude,longitude
10,GK13_08,BE,51.33357879,4.252341188
10,GK13_09,BE,51.31850893,4.26406004
10,GK13_10,BE,51.3332055,4.280990227
10,GK13_11,BE,51.33873974,4.250601205
10,GK13_12,BE,51.32008522,4.281901843
10,GK13_13,BE,51.37454268,4.242654177
10,GK13_14,BE,51.28562734,4.313759484
10,GK13_15,BE,51.3050137,4.284721648
10,GK13_16,BE,51.30461922,4.285307989
10,GK13_17,BE,51.28928432,4.30680394
10,GK13_18,BE,51.25585913,4.319012346
10,GK13_19,BE,51.29994464,4.29894302
10,GK13_20,BE,51.29029627,4.304134779
10,GK13_21,BE,51.33155762,4.263012047
10,GK13_22,BE,51.26183423,4.306923052
10,GK13_23,BE,51.35925144,4.241999467
10,GK13_24,BE,51.33059289,4.280017022
10,GK13_25,BE,51.31781347,4.280692824
10,GK13_26,BE,51.33421277,4.260709713
10,GK13_27,BE,51.29314507,4.317232564
10,GK13_28,BE,51.25398981,4.32631347
10,GK13_29,BE,51.29482165,4.288838403
10,GK13_30,BE,51.36157403,4.242071054
10,GK14_01,BE,51.34217885,4.244092446
10,GK14_02,BE,51.23461526,4.395580491
10,GK14_03,BE,51.33475861,4.255018005
10,GK14_04,BE,51.33335031,4.255615933
10,GK14_05,BE,51.24400826,4.350962555
10,GK14_06,BE,51.28138685,4.312790778
10,GK14_07,BE,51.28510004,4.312437161
10,GK14_08,BE,51.35829481,4.250291904
10,GK14_09,BE,51.30307236,4.293861925
10,GK14_10,BE,51.28798456,4.310025978
10,GK14_11,BE,51.31876037,4.282029457
10,GK14_12,BE,51.31546818,4.281331319
10,GK14_13,BE,51.28922121,4.306923012
10,GK14_14,BE,51.35640208,4.249888313
10,GK14_15,BE,51.29735781,4.279648715
10,GK14_16,BE,51.2130765,4.381549215
10,GK14_17,BE,51.21153451,4.378711574
10,GK14_18,BE,51.27606509,4.309918249
10,GK14_19,BE,51.2846009,4.314834757
10,GK14_20,BE,51.27800723,4.323379228
10,GK14_21,BE,51.29809434,4.278696198
10,GK14_22,BE,51.36334533,4.240566719
10,GK14_23,BE,51.29449868,4.313407914
10,GK14_24,BE,51.36241854,4.243353059
10,GK14_25,BE,51.3299939,4.279941128
10,GK14_26,BE,51.31770308,4.280359713
10,GK14_27,BE,51.30503471,4.284302176
10,GK14_58,BE,51.23633859,4.37216682
10,GK14_59,BE,51.24920327,4.322504117
10,GK14_60,BE,51.30248319,4.296824943
10,GK15_31,BE,51.33502769,4.254571302
10,GK15_32,BE,51.27670103,4.310222837
10,GK15_33,BE,51.36358925,4.246225917
10,GK15_34,BE,51.36014313,4.248397146
10,GK15_35,BE,51.33810535,4.249506113
10,GK15_36,BE,51.30166488,4.294405834
10,GK15_37,BE,51.36130195,4.248742624
10,GK15_38,BE,51.33303719,4.25431355
10,GK15_39,BE,51.28496866,4.312082147
10,GK15_40,BE,51.23600595,4.392398697
10,GK15_41,BE,51.28778943,4.310330371
10,GK15_42,BE,51.3185058,4.264955357
10,GK15_43,BE,51.34531253,4.240352592
10,GK15_44,BE,51.33960188,4.250174229
10,GK15_45,BE,51.37270716,4.242281561
10,GK15_46,BE,51.35898668,4.247466865
10,GK15_47,BE,51.29021009,4.303757639
10,GK15_48,BE,51.36287033,4.244986608
10,GK15_49,BE,51.2423333,4.353437269
10,GK15_50,BE,51.36955657,4.235629551
10,GK15_51,BE,51.26271437,4.307464169
10,GK15_52,BE,51.32461532,4.280766754
10,GK15_53,BE,51.29659343,4.308354829
10,GK15_54,BE,51.25702315,4.312869055
10,GK15_55,BE,51.21753543,4.387689758
10,GK15_56,BE,51.25745558,4.310222418
10,GK15_57,BE,51.33350732,4.261114303
10,GK15_58,BE,51.27790207,4.323844979
10,GK15_59,BE,51.36098227,4.238099845
10,GK15_60,BE,51.29373199,4.288481306
10,KD15_16,BE,51.23335188,4.39630588
11,FS8546,BE,50.931,5.626
12,FS8546,BE,50.931,5.626
13,LTER_EU_CH_002,CH,46.7,7.75
14,LTER_EU_CH_003,CH,47.217,7.417
15,LTER_EU_CH_004,CH,46.483,9.883
16,LTER_EU_CH_005,CH,46.433,8.8
17,LTER_EU_CH_007,CH,46.117,9
18,LTER_EU_CH_008,CH,46.217,6.283
19,LTER_EU_CH_010,CH,46.583,6.65
20,LTER_EU_CH_011,CH,46.283,7.85
21,LTER_EU_CH_012,CH,46.65,10.217
22,LTER_EU_CH_013,CH,47.683,8.533
23,LTER_EU_CH_014,CH,46.017,8.833
24,LTER_EU_CH_015,CH,47.4,8.217
25,LTER_EU_CH_017,CH,46.283,7.85
26,LTER_EU_CH_018,CH,47.267,7.883
27,Muggelsee,DE,52.44,13.65
28,Norholm-LTER_EU_DK_01,DK,55.680062,8.604672
29,LTER_EU_ES_028 Ebro Delta,ES,40.571,0.654
30,102,FI,59.844,23.241
30,104,FI,61.054,25.043
30,165,FI,60.322,24.519
30,303,FI,61.97,23.36
30,802,FI,63.067,21.7
30,903,FI,62.616,26.346
30,908,FI,61.92,25.72
30,909,FI,62.192,25.861
30,1001,FI,63.891,22.939
30,1003,FI,63.904,23.947
30,1101,FI,65.04,24.565
30,1308,FI,69.039,20.824
30,1310,FI,65.906,24.452
30,1312,FI,67.278,23.765
31,Hangaspuro,FI,66.335013,29.334205
31,Kantojoki,FI,66.223412,29.128373
31,Kotioja,FI,66.382179,29.426609
31,Matinjarvenpuro,FI,66.381838,29.579633
31,Pessarinpuro,FI,66.207575,29.163472
31,Porontimajoki,FI,66.212673,29.401541
31,Putaanoja,FI,66.379146,29.423721
31,Salmipuro,FI,66.191183,29.13634
31,Uopajanpuro,FI,66.337734,29.518193
31,Vansselinpuro,FI,66.216611,29.391159
32,Aurignac County,FR,43.16,0.51
33,LTER_EU_IT_IT12 Northern Adriatic Sea,IT,45.25,12.77
34,1,IT,45.47,12.28
34,2,IT,45.46,12.26
34,3,IT,45.42,12.26
34,4,IT,45.43,12.43
34,5,IT,45.5,12.42
35,LTER_EU_IT_091 Lago Anterselva,IT,46.885556,12.165833
35,LTER_EU_IT_093 Lago piccolo di Monticolo,IT,46.429167,11.295556
36,Salaca_1_Vecate,LV,57.795,25.148
36,Salaca_2_Mazsalaca,LV,57.874,24.996
36,Salaca_3_Vecsalaca,LV,57.753,24.409
37,Wadden sea,NL,53.25,5.25
38,Hoge Veluwe,NL,52.0407254,5.85573
39,Vidjedal,NO,61.983,9.803
39,Doralseter,NO,61.997,9.809
39,Vollen,NO,61.984,10.028
39,Solbakken,NO,61.745,10.747
40,Lake Atnsjoen,NO,61.884,10.156
41,M,PT,40.14535,-8.857751
41,S1,PT,40.125076,-8.845439
41,S2,PT,40.105795,-8.808562
41,N1,PT,40.140847,-8.816525
