unique_id,reported_taxa,corrected_taxa
9,185.006.002,Narcissus serotinus
9,185.006.999,Narcissus sp.
9,185.006.003,Narcissus tazetta
9,185.006.017,Narcissus triandrus
9,185.006.016,Narcissus viridiflorus
9,185.006.010,Narcissus willkommii
9,185.006.027,Narcissus x incomparabilis
9,185.006.030,Narcissus x intermedius
9,185.006.029,Narcissus x medioluteus
9,185.006.028,Narcissus x odorus
9,185.007.002,Pancratium illyricum
9,185.007.001,Pancratium maritimum
9,185.007.999,Pancratium sp.
9,185.002.001,Sternbergia colchiciflora
9,185.002.002,Sternbergia lutea
9,185.002.999,Sternbergia sp.
9,303.001.001,Amblystegium compactum
9,303.001.002,Amblystegium fluviatile
9,303.001.003,Amblystegium humile
9,303.001.004,Amblystegium saxatile
9,303.001.005,Amblystegium serpens
9,303.001.999,Amblystegium sp.
9,303.001.006,Amblystegium tenax
9,303.001.007,Amblystegium varium
9,303.002.001,Calliergon cordifolium
9,303.002.002,Calliergon giganteum
9,303.002.003,Calliergon megalophyllum
9,303.002.006,Calliergon richardsonii
9,303.002.007,Calliergon sarmentosum
9,303.002.999,Calliergon sp.
9,303.002.008,Calliergon stramineum
9,303.002.009,Calliergon trifarium
9,303.002.010,Calliergon turgescens
9,303.003.001,Calliergonella cuspidata
9,303.004.001,Campylium calcareum
9,303.004.002,Campylium chrysophyllum
9,303.004.003,Campylium elodes
9,303.004.004,Campylium halleri
9,303.004.007,Campylium polygamum
9,303.004.008,Campylium sommerfeltii
9,303.004.999,Campylium sp.
9,303.004.009,Campylium stellatum
9,303.005.001,Drepanocladus aduncus
9,303.005.005,Drepanocladus exannulatus
9,303.005.006,Drepanocladus fluitans
9,303.005.008,Drepanocladus lycopodioides
9,303.005.009,Drepanocladus polycarpus
9,303.005.010,Drepanocladus pseudostramineus
9,303.005.011,Drepanocladus revolvens
9,303.005.012,Drepanocladus sendtneri
9,303.005.999,Drepanocladus sp.
9,303.005.015,Drepanocladus uncinatus
9,303.005.016,Drepanocladus vernicosus
9,303.006.001,Hygrohypnum alpestre
9,303.006.002,Hygrohypnum alpinum
9,303.006.003,Hygrohypnum cochlearifolium
9,303.006.004,Hygrohypnum duriusculum
9,303.006.005,Hygrohypnum eugyrium
9,303.006.006,Hygrohypnum luridum
9,303.006.007,Hygrohypnum molle
9,303.006.009,Hygrohypnum norvegicum
9,303.006.010,Hygrohypnum ochraceum
9,303.006.012,Hygrohypnum smithii
9,303.006.999,Hygrohypnum sp.
9,303.006.013,Hygrohypnum styriacum
9,303.007.001,Leptodictyum riparium
9,303.009.001,Platydictya confervoides
9,303.009.002,Platydictya jungermannioides
9,303.009.999,Platydictya sp.
9,303.009.003,Platydictya subtilis
9,303.010.001,Scorpidium scorpioides
9,094.002.001,Cotinus coggygria
9,094.003.002,Pistacia atlantica
9,094.003.004,Pistacia lentiscus
9,094.003.999,Pistacia sp.
9,094.003.001,Pistacia terebinthus
9,094.003.003,Pistacia vera
9,094.001.001,Rhus coriaria
9,094.001.003,Rhus pentaphylla
9,094.001.999,Rhus sp.
9,094.001.004,Rhus tripartita
9,094.001.002,Rhus typhina
9,094.004.001,Schinus molle
9,094.004.999,Schinus sp.
9,094.004.002,Schinus terebinthifolia
9,304.001.001,Andreaea alpestris
9,304.001.003,Andreaea blyttii
9,304.001.004,Andreaea crassinervia
9,304.001.005,Andreaea frigida
9,304.001.006,Andreaea heinemannii
9,304.001.009,Andreaea nivalis
9,304.001.011,Andreaea rothii
9,304.001.014,Andreaea rothii agg.
9,304.001.012,Andreaea rupestris
9,304.001.015,Andreaea rupestris agg.
9,304.001.999,Andreaea sp.
9,305.001.001,Aneura pinguis
9,305.003.001,Riccardia chamaedryfolia
9,305.003.002,Riccardia incurvata
9,305.003.003,Riccardia latifrons
9,305.003.004,Riccardia multifida
9,305.003.005,Riccardia palmata
9,305.003.999,Riccardia sp.
9,306.001.001,Anomodon attenuatus
9,306.001.002,Anomodon longifolius
9,306.001.003,Anomodon rostratus
9,306.001.004,Anomodon rugelii
9,306.001.999,Anomodon sp.
9,306.001.005,Anomodon viticulosus
9,306.002.001,Haplohymenium triste
9,307.001.001,Anthelia julacea
9,307.001.002,Anthelia juratzkana
9,307.001.999,Anthelia sp.
9,308.001.001,Anthoceros agrestis
9,308.001.003,Anthoceros neesii
9,308.001.004,Anthoceros punctatus
9,308.001.005,Anthoceros punctatus agg.
9,308.001.999,Anthoceros sp.
9,308.002.002,Phaeoceros carolinianus
9,308.002.003,Phaeoceros laevis
9,308.002.004,Phaeoceros laevis agg.
9,308.002.999,Phaeoceros sp.
9,142.001.001,Nerium oleander
9,142.003.001,Rhazya orientalis
9,142.002.002,Trachomitum sarmatiense
9,142.002.999,Trachomitum sp.
9,142.002.003,Trachomitum tauricum
9,142.002.001,Trachomitum venetum
9,142.004.004,Vinca balcanica
9,142.004.003,Vinca difformis
9,142.004.002,Vinca herbacea
9,142.004.005,Vinca major
9,142.004.001,Vinca minor
9,142.004.999,Vinca sp.
9,174.001.001,Aponogeton distachyos
9,099.001.001,Ilex aquifolium
9,099.001.004,Ilex canariensis
9,099.001.002,Ilex colchica
9,099.001.003,Ilex perado
9,099.001.999,Ilex sp.
9,195.001.001,Acorus calamus
9,195.009.001,Ambrosina bassii
9,195.008.002,Arisarum proboscideum
9,195.008.999,Arisarum sp.
9,195.008.001,Arisarum vulgare
9,195.006.006,Arum creticum
9,195.006.004,Arum elongatum
9,195.006.001,Arum italicum
9,195.006.002,Arum maculatum
9,195.006.003,Arum orientale
9,195.006.005,Arum petteri
9,195.006.007,Arum pictum
9,195.006.999,Arum sp.
9,195.007.003,Biarum carratracense
9,195.007.001,Biarum davisii
9,195.007.004,Biarum dispar
9,195.007.999,Biarum sp.
9,195.007.005,Biarum spruneri
9,195.007.002,Biarum tenuifolium
9,195.002.001,Calla palustris
9,195.005.001,Colocasia esculenta
9,195.010.002,Dracunculus muscivorus
9,195.010.999,Dracunculus sp.
9,195.010.001,Dracunculus vulgaris
9,195.003.001,Lysichiton americanus
9,195.004.001,Zantedeschia aethiopica
9,128.001.002,Hedera colchica
9,128.001.001,Hedera helix
9,128.001.999,Hedera sp.
9,309.001.001,Archidium alternifolium
9,044.002.002,Aristolochia baetica
9,044.002.008,Aristolochia bianorii
9,044.002.005,Aristolochia clematitis
9,044.002.010,Aristolochia clusii
9,044.002.003,Aristolochia cretica
9,044.002.015,Aristolochia elongata
9,044.002.004,Aristolochia hirta
9,044.002.014,Aristolochia lutea
9,044.002.016,Aristolochia merxmuelleri
9,044.002.018,Aristolochia microstoma
9,044.002.011,Aristolochia navicularis
9,044.002.013,Aristolochia pallida
9,044.002.012,Aristolochia parvifolia
9,044.002.009,Aristolochia paucinervis
9,044.002.006,Aristolochia pistolochia
9,044.002.020,Aristolochia pontica
9,044.002.007,Aristolochia rotunda
9,044.002.001,Aristolochia sempervirens
9,044.002.019,Aristolochia sicula
9,044.002.999,Aristolochia sp.
9,044.002.017,Aristolochia tyrrhena
9,044.001.001,Asarum europaeum
9,310.001.001,Arnellia fennica
9,310.002.001,Gongylanthus ericetorum
9,310.003.002,Southbya tophacea
9,143.002.001,Araujia sericifera
9,143.004.001,Asclepias syriaca
9,143.008.001,Caralluma europaea
9,143.008.002,Caralluma munbyana
9,143.008.999,Caralluma sp.
9,143.007.001,Cionura erecta
9,143.005.001,Cynanchum acutum
9,143.003.001,Gomphocarpus fruticosus
9,143.001.001,Periploca graeca
9,143.001.002,Periploca laevigata
9,143.001.999,Periploca sp.
9,143.006.001,Vincetoxicum canescens
9,143.006.009,Vincetoxicum fuscatum
9,143.006.011,Vincetoxicum hirundinaria
9,143.006.005,Vincetoxicum huteri
9,143.006.006,Vincetoxicum juzepczukii
9,143.006.003,Vincetoxicum nigrum
9,143.006.010,Vincetoxicum pannonicum
9,143.006.007,Vincetoxicum rossicum
9,143.006.004,Vincetoxicum scandens
9,143.006.008,Vincetoxicum schmalhausenii
9,143.006.999,Vincetoxicum sp.
9,143.006.002,Vincetoxicum speciosum
9,017.001.017,Asplenium adiantum-nigrum
9,017.001.008,Asplenium adulterinum
9,017.001.025,Asplenium aegaeum
9,017.001.006,Asplenium anceps
9,017.001.007,Asplenium azoricum
9,017.001.016,Asplenium balearicum
9,017.001.010,Asplenium bourgaei
9,017.001.027,Asplenium ceterach
9,017.001.026,Asplenium creticum
9,017.001.019,Asplenium cuneifolium
9,017.001.024,Asplenium fissum
9,017.001.013,Asplenium fontanum
9,017.001.014,Asplenium foreziense
9,017.001.001,Asplenium hemionitis
9,017.001.028,Asplenium hispanicum
9,017.001.031,Asplenium hybridum
9,017.001.011,Asplenium jahandiezii
9,017.001.023,Asplenium lepidum
9,017.001.012,Asplenium majoricum
9,017.001.002,Asplenium marinum
9,017.001.004,Asplenium monanthes
9,017.001.015,Asplenium obovatum
9,017.001.018,Asplenium onopteris
9,017.001.003,Asplenium petrarchae
9,017.001.022,Asplenium ruta-muraria
9,017.001.030,Asplenium sagittatum
